name_file,min_energy,pseudo_energy,log_min_evalue,covarying_bp,MPI,average_MFE_sample,sd_sample,zscore,sci
MT_1194_1375_24_84.8_0.2_0.36_43.7_2.5_252_-.aln,-0.18817679558011052,-0.2065193370165746,-11.863222376002907,2.0,84.8,-0.2885082872928177,7.61,-2.53,1.5192
MT_1182_1435_24_81.4_0.2_0.44_41.3_6.6_351_+.aln,-0.13130434782608696,-0.19652173913043477,-16.80759425250242,5.0,81.4,-0.2039920948616601,9.05,-3.51,1.6359
MT_1179_1434_24_81.4_0.2_0.44_41.6_6.3_459_+.aln,-0.1471372549019608,-0.19949019607843135,-16.214506445474026,5.0,81.4,-0.20662745098039215,7.85,-4.6,1.6641
MT_1175_1433_24_81.6_0.2_0.43_42.7_6.2_319_+.aln,-0.14344961240310078,-0.2037596899224806,-15.566644663153303,5.0,81.6,-0.22631782945736434,9.89,-3.19,1.6001
MT_1171_1441_24_81.9_0.2_0.43_41.8_6.2_256_+.aln,-0.14648148148148146,-0.1947777777777778,-15.914848618148477,5.0,81.9,-0.22714814814814815,12.61,-2.56,1.6314
MT_1183_1429_24_80.9_0.2_0.45_41.6_6.5_287_-.aln,-0.17853658536585368,-0.18772357723577235,-16.061963871701572,5.0,80.9,-0.25150406504065037,9.85,-2.87,1.3676
MT_1154_1204_24_91.2_0.1_0.2_49.3_0.2_38_+.aln,-0.11779999999999999,-0.2144,0.38824688968278104,0.0,91.2,-0.297,4.66,-0.38,2.1084
MT_1154_1204_24_91.2_0.1_0.2_49.3_0.2_8_-.aln,-0.0926,-0.22640000000000002,0.08878084737145021,0.0,91.2,-0.3114,5.14,-0.08,1.6679
MT_1182_1435_24_81.4_0.2_0.44_41.3_6.6_250_-.aln,-0.16616600790513833,-0.19154150197628458,-16.704180093301108,5.0,81.4,-0.2642292490118577,9.45,-2.5,1.3583
MT_1179_1434_24_81.4_0.2_0.44_41.6_6.3_248_-.aln,-0.1787843137254902,-0.19109803921568627,-16.87080976934291,5.0,81.4,-0.2644705882352941,10.82,-2.48,1.3881
MT_1090_1179_24_82.5_0.2_0.42_41.3_3.0_193_+.aln,-0.10404494382022472,-0.17460674157303369,-12.332126032297493,2.0,82.5,-0.1697752808988764,5.27,-1.93,1.9129
MT_1090_1179_24_82.5_0.2_0.42_41.3_3.0_212_-.aln,-0.14202247191011236,-0.19606741573033706,-12.734649077398178,2.0,82.5,-0.2064044943820225,5.51,-2.12,1.3834
MT_1175_1433_24_81.6_0.2_0.43_42.7_6.2_246_-.aln,-0.17670542635658917,-0.18887596899224804,-16.521576368944,5.0,81.6,-0.2676744186046512,10.29,-2.46,1.3774
MT_1133_1364_24_85.0_0.2_0.35_45.8_2.1_189_+.aln,-0.1338961038961039,-0.21593073593073595,-10.75046412512825,2.0,85.0,-0.2639393939393939,10.6,-1.89,1.664
MT_1081_1181_24_83.8_0.2_0.39_42.5_2.7_195_+.aln,-0.1081,-0.1782,-12.505486426256153,2.0,83.8,-0.1729,6.31,-1.95,2.0039
MT_1081_1181_24_83.8_0.2_0.39_42.5_2.7_240_-.aln,-0.16010000000000002,-0.1916,-12.43422417632459,2.0,83.8,-0.2288,5.3,-2.4,1.4403
MT_1171_1441_24_81.9_0.2_0.43_41.8_6.2_187_-.aln,-0.16174074074074074,-0.1845925925925926,-16.441846048789962,5.0,81.9,-0.27444444444444444,10.36,-1.87,1.3374
MT_1096_1364_24_83.3_0.2_0.39_43.6_2.7_280_+.aln,-0.1396268656716418,-0.2026492537313433,-12.274331706081664,4.0,83.3,-0.2276492537313433,11.42,-2.8,1.6754
MT_1071_1193_24_84.5_0.2_0.37_41.8_2.3_169_+.aln,-0.1159016393442623,-0.18213114754098358,-14.03709014554467,3.0,84.5,-0.19647540983606557,7.9,-1.69,1.7374
