name_file,min_energy,pseudo_energy,log_min_evalue,covarying_bp,MPI,average_MFE_sample,sd_sample,zscore,sci
3_169764966_169765114_14_85.4_0.1_0.34_68.4_3.0_92_-.aln,-0.33391891891891895,-0.24993243243243243,-0.03355882470069227,0.0,85.4,-0.5447972972972973,10.44,-0.92,1.281
3_169764924_169764990_14_96.0_0.1_0.08_63.3_0.0_118_-.aln,-0.42742424242424243,-0.22924242424242425,0.6004283257321311,0.0,96.0,-0.5151515151515151,7.91,-1.18,1.5334
3_169764912_169765036_14_91.8_0.1_0.19_59.8_1.4_132_+.aln,-0.35258064516129034,-0.2608064516129033,0.8265321914684822,0.0,91.8,-0.5073387096774193,10.4,-1.32,1.651
3_169764917_169765057_14_92.4_0.1_0.17_63.0_1.2_94_+.aln,-0.3271428571428571,-0.25207142857142856,0.8295514109195153,0.0,92.4,-0.4896428571428571,14.04,-0.94,1.6443
3_169764912_169765036_14_91.8_0.1_0.19_59.8_1.4_146_-.aln,-0.36701612903225805,-0.27645161290322584,0.1449445231128805,0.0,91.8,-0.5091129032258065,11.46,-1.46,1.5625
3_169764917_169765057_14_92.4_0.1_0.17_63.0_1.2_130_-.aln,-0.3817142857142857,-0.286,0.06473869233821165,0.0,92.4,-0.5732857142857143,10.2,-1.3,1.5625
3_169764910_169765111_14_88.2_0.1_0.27_65.4_2.2_36_+.aln,-0.30905472636815917,-0.23860696517412935,0.9425447574019181,0.0,88.2,-0.5349751243781095,13.71,-0.36,1.3899
3_169764909_169765041_14_91.8_0.1_0.19_61.3_1.3_112_+.aln,-0.34621212121212125,-0.25681818181818183,0.8856427415949129,0.0,91.8,-0.5157575757575757,10.71,-1.13,1.5899
3_169764892_169764982_14_91.7_0.1_0.19_57.7_3.9_153_+.aln,-0.3396666666666667,-0.27366666666666667,0.6816563330379093,0.0,91.7,-0.4598888888888889,9.04,-1.53,1.6603
3_169764892_169764982_14_91.7_0.1_0.19_57.7_3.9_127_-.aln,-0.2902222222222222,-0.25755555555555554,0.6007279237058787,0.0,91.7,-0.4112222222222222,9.63,-1.27,1.6657
3_169764909_169765041_14_91.8_0.1_0.19_61.3_1.3_141_-.aln,-0.36477272727272725,-0.26984848484848484,0.21950069771775296,0.0,91.8,-0.5231060606060606,10.46,-1.41,1.5504
3_169764923_169765208_14_80.3_0.2_0.46_62.6_4.7_34_+.aln,-0.23136842105263158,-0.20368421052631577,0.10383107722706943,0.0,80.3,-0.42505263157894735,14.27,-0.34,1.1143
3_169764908_169765106_14_88.3_0.1_0.27_64.5_2.2_72_+.aln,-0.31257575757575756,-0.25222222222222224,-0.0014381561413204656,0.0,88.3,-0.5245454545454545,12.55,-0.72,1.4341
3_169764875_169764970_14_92.3_0.1_0.17_54.4_3.7_148_+.aln,-0.2890526315789474,-0.26894736842105266,-1.1663016012359275,0.0,92.3,-0.45,7.44,-1.48,1.6582
3_169764883_169765027_14_91.3_0.1_0.2_54.1_3.6_154_+.aln,-0.32493055555555556,-0.2534027777777778,0.8273188609471308,0.0,91.3,-0.47951388888888885,9.8,-1.54,1.5166
3_169764875_169764970_14_92.3_0.1_0.17_54.4_3.7_141_-.aln,-0.2583157894736842,-0.24957894736842107,0.7698069763836953,0.0,92.3,-0.3738947368421053,8.21,-1.41,1.7786
3_169764910_169765111_14_88.2_0.1_0.27_65.4_2.2_57_-.aln,-0.34348258706467666,-0.24407960199004977,0.16234630845957654,0.0,88.2,-0.5679601990049751,13.13,-0.58,1.314
3_169764883_169765027_14_91.3_0.1_0.2_54.1_3.6_147_-.aln,-0.2829166666666667,-0.24805555555555556,0.4160977161716515,0.0,91.3,-0.4189583333333333,10.98,-1.47,1.5473
3_169764869_169765048_14_90.7_0.1_0.21_58.8_2.9_121_+.aln,-0.32145251396648045,-0.23469273743016758,0.9767157879359923,0.0,90.7,-0.4976536312849162,10.14,-1.21,1.5111
3_169764908_169765106_14_88.3_0.1_0.27_64.5_2.2_40_-.aln,-0.3144444444444444,-0.2689393939393939,0.0348569725379345,0.0,88.3,-0.5695959595959597,13.33,-0.4,1.3244
3_169764860_169765061_14_90.6_0.1_0.21_60.3_3.1_40_+.aln,-0.29761194029850746,-0.23781094527363184,0.8006194884950991,0.0,90.6,-0.5223880597014925,12.85,-0.4,1.4984
3_169764863_169765085_14_87.6_0.1_0.28_62.1_3.6_28_+.aln,-0.26887387387387385,-0.22815315315315315,0.9768852940983856,0.0,87.6,-0.48986486486486486,14.22,-0.29,1.3266
3_169764869_169765048_14_90.7_0.1_0.21_58.8_2.9_124_-.aln,-0.3242458100558659,-0.2515642458100559,0.1717995610487246,0.0,90.7,-0.49949720670391057,11.82,-1.24,1.5123
3_169764923_169765208_14_80.3_0.2_0.46_62.6_4.7_86_-.aln,-0.2746315789473684,-0.2150877192982456,0.03740657571846351,0.0,80.3,-0.4682456140350877,13.05,-0.86,1.1518
3_169764854_169765045_14_90.5_0.1_0.22_60.3_2.8_184_+.aln,-0.34607329842931933,-0.2650261780104712,0.04023038049753062,0.0,90.5,-0.5210471204188482,10.65,-1.84,1.4158
3_169764860_169765061_14_90.6_0.1_0.21_60.3_3.1_123_-.aln,-0.33318407960199004,-0.25611940298507463,0.4838083101630657,0.0,90.6,-0.5197512437810945,11.2,-1.23,1.467
3_169764849_169765047_14_90.3_0.1_0.22_60.6_2.7_151_+.aln,-0.34035353535353535,-0.2687878787878788,0.05731989942427621,0.0,90.3,-0.5343434343434343,11.38,-1.51,1.4107
3_169764854_169765045_14_90.5_0.1_0.22_60.3_2.8_233_-.aln,-0.3669633507853403,-0.2771204188481675,-0.43822145425846176,0.0,90.5,-0.49664921465968587,12.24,-2.33,1.5002
3_169764863_169765085_14_87.6_0.1_0.28_62.1_3.6_40_-.aln,-0.2971621621621622,-0.25454954954954956,0.2814651731995283,0.0,87.6,-0.5292342342342342,14.3,-0.4,1.3323
3_169764841_169765115_14_87.7_0.1_0.28_64.4_2.9_86_+.aln,-0.30678832116788324,-0.253029197080292,-0.08615966705276162,0.0,87.7,-0.5308029197080292,13.39,-0.86,1.3397
3_169764849_169765047_14_90.3_0.1_0.22_60.6_2.7_212_-.aln,-0.36944444444444446,-0.28045454545454546,-0.4146092144556528,0.0,90.3,-0.5205555555555555,12.27,-2.12,1.499
3_169764838_169765082_14_87.9_0.1_0.28_63.9_3.3_80_+.aln,-0.30262295081967217,-0.26618852459016396,-2.1313955255883483,1.0,87.9,-0.5285245901639345,15.35,-0.8,1.3763
3_169764837_169765078_14_88.4_0.1_0.26_64.0_3.3_97_+.aln,-0.30809128630705396,-0.26950207468879667,-3.753592522272771,1.0,88.4,-0.5322821576763486,13.79,-0.97,1.401
3_169764827_169765111_14_87.8_0.1_0.28_65.0_2.8_76_+.aln,-0.30940140845070424,-0.27070422535211264,0.1578494804529017,0.0,87.8,-0.5523239436619719,14.54,-0.76,1.3543
3_169764825_169765048_14_90.1_0.1_0.22_63.1_2.4_108_+.aln,-0.35641255605381167,-0.2699551569506727,-0.08872943609752608,0.0,90.1,-0.5747982062780269,12.9,-1.08,1.4175
3_169764838_169765082_14_87.9_0.1_0.28_63.9_3.3_146_-.aln,-0.35200819672131145,-0.2733606557377049,-0.41878673025940133,0.0,87.9,-0.5536065573770492,13.85,-1.46,1.3968
3_169764841_169765115_14_87.7_0.1_0.28_64.4_2.9_82_-.aln,-0.32835766423357665,-0.26536496350364963,-0.34057444010884325,0.0,87.7,-0.5590145985401459,13.91,-0.82,1.3345
3_169764837_169765078_14_88.4_0.1_0.26_64.0_3.3_145_-.aln,-0.3473858921161826,-0.2805394190871369,-3.3860440719376017,1.0,88.4,-0.5573029045643154,12.75,-1.45,1.4203
3_169764825_169765048_14_90.1_0.1_0.22_63.1_2.4_165_-.aln,-0.37327354260089685,-0.28394618834080715,-0.7519801169585005,0.0,90.1,-0.544932735426009,15.42,-1.65,1.4993
3_169764817_169765048_14_89.7_0.1_0.23_63.7_2.8_183_+.aln,-0.3748051948051948,-0.27354978354978354,0.25270986004018886,0.0,89.7,-0.5715151515151515,11.18,-1.83,1.4276
3_169764827_169765111_14_87.8_0.1_0.28_65.0_2.8_104_-.aln,-0.33788732394366194,-0.2769014084507042,-0.2943158560175978,0.0,87.8,-0.5659507042253521,15.05,-1.04,1.3518
3_169764814_169765057_14_89.9_0.1_0.23_64.7_2.6_135_+.aln,-0.37246913580246915,-0.27600823045267486,0.22042976539282078,0.0,89.9,-0.5883127572016461,12.6,-1.35,1.4272
3_169764805_169765047_14_89.8_0.1_0.23_64.8_2.7_109_+.aln,-0.3775206611570248,-0.2740909090909091,0.5945229296549992,1.0,89.8,-0.5923553719008264,14.02,-1.09,1.4304
3_169764803_169765057_14_90.0_0.1_0.22_65.3_2.6_125_+.aln,-0.379763779527559,-0.27779527559055117,0.05540891441658893,0.0,90.0,-0.6076771653543307,12.3,-1.25,1.4448
3_169764817_169765048_14_89.7_0.1_0.23_63.7_2.8_174_-.aln,-0.3603463203463203,-0.27411255411255414,-0.3565127787357648,0.0,89.7,-0.5210389610389611,15.25,-1.74,1.4719
3_169764794_169765048_14_90.1_0.1_0.22_65.7_2.6_141_+.aln,-0.3947244094488189,-0.2838582677165354,-0.035052927574821015,0.0,90.1,-0.6050787401574803,15.63,-1.41,1.4479
3_169764814_169765057_14_89.9_0.1_0.23_64.7_2.6_134_-.aln,-0.37691358024691357,-0.2880658436213992,-0.7491337332866769,0.0,89.9,-0.5737037037037037,17.33,-1.34,1.4876
3_169764805_169765047_14_89.8_0.1_0.23_64.8_2.7_163_-.aln,-0.36566115702479335,-0.27603305785123966,-0.5118739151766157,0.0,89.8,-0.5499586776859504,13.86,-1.63,1.4708
3_169764803_169765057_14_90.0_0.1_0.22_65.3_2.6_130_-.aln,-0.3756692913385827,-0.2821259842519685,-0.4909454050047321,0.0,90.0,-0.5840944881889765,14.98,-1.3,1.4871
3_169764782_169765056_14_90.7_0.1_0.21_66.7_2.4_120_+.aln,-0.3924452554744526,-0.2869343065693431,0.3299792615751731,0.0,90.7,-0.6255109489051094,14.3,-1.2,1.4508
3_169764794_169765048_14_90.1_0.1_0.22_65.7_2.6_144_-.aln,-0.37673228346456694,-0.28996062992125987,-0.5286965514109759,0.0,90.1,-0.5815354330708662,16.8,-1.44,1.5189
3_169764774_169765048_14_90.6_0.1_0.21_66.6_2.4_115_+.aln,-0.3933941605839416,-0.29164233576642334,0.26627874663110207,0.0,90.6,-0.6345255474452556,14.9,-1.16,1.4548
